BANK_CODE,BANK_NAME,BIC_CODE
10,Markazi,BMJJ
11,Sanat o Madan,BOIM
12,Mellat,BKMT
13,Refah,REFA
14,Maskan,BKMN
15,Sepah,SEPB
16,Keshavarzi,KESH
17,Melli,MELI
18,Tejarat,BTEJ
19,Saderat,BSIR
20,Tosee Saderat,EDBI
21,PostBank,POST
22,Tosee Taavon,BNTT
51,Etebari Tosee,TOSE
52,Ghavamin,GHVM
53,Karafarin,KBID
54,Parsian,BKPA
55,Eghtesad Novin,BEGN
56,Saman,SABC
57,Pasargad,BKBP
58,Sarmayeh,SRMB
59,Sina,SINA
60,Mehr,MEHR
61,Shahr,BNSH
62,Ayandeh,BTAT
63,Ansar,BANS
64,Gardeshgari,BNGR
65,Hekmat Iranian,BNHI
66,Day,BDAY
69,Iran Zamin,BNIZ
70,Resalat,RESA
73,Kosar,KSA
75,Asgarieh,TOU
78,Khavaremiyaneh,KHMI
95,Iran-Venezuela,BJIV
80,Noor,NOOR
93,Shaparak,BMJS
79,Mehre Eghtesad,MEHREQ
92,Shaparak Payment Facilitator Settlement,BMJF
0,REFAHI,BMJR
989,Fuel Switch,FUEL
